ID,Date,Time,Hour,Longitude,Latitude,Crime
1,1/1/2014,0:39,0,72.9231,19.1394,"LarcencyMV,HitnRun,MissingPerson"
2,1/1/2014,0:35,0,72.8204,19.2091,"Assault(Simple),Harrassment,Threats"
3,1/1/2014,1:05,1,72.8322,19.0207,"Assault(Simple),LarcencyMV,ChainSnatching,Robbery"
4,1/1/2014,2:07,2,72.923,19.1404,"LarcencyMV,HitnRun,MissingPerson"
5,1/1/2014,3:53,3,72.8662,19.0409,"Assault(Simple),LarcencyMV,ChainSnatching,Robbery"
6,1/1/2014,4:07,4,72.8213,19.2095,"Assault(Simple),Harrassment,Threats"
7,1/1/2014,7:35,7,72.8658,19.0409,"Assault(Simple),LarcencyMV,ChainSnatching,Robbery"
8,1/1/2014,11:23,11,72.82173592,19.11686819,Assault(Aggravated)
9,1/1/2014,12:40,12,72.9119,19.1098,"Assault(Simple),Harrassment,LarcencyMV,Robbery"
10,1/1/2014,13:42,13,72.8471,19.194,"Assault(Simple),Harrassment,Threats"
11,1/1/2014,13:39,13,72.86375356,19.02277718,Assault(Aggravated)
12,1/1/2014,15:44,15,72.9098,19.0484,"Assault(Simple),Robbery,Housebreak"
13,1/1/2014,14:09,14,72.9295,19.2632,"Assault(Simple),LarcencyMV,ChainSnatching,Robbery,PocketPicking"
14,1/1/2014,16:09,16,72.9061,19.0926,"Assault(Simple),Harrassment,LarcencyMV,PocketPicking,Robbery"
15,1/1/2014,16:32,16,72.8422,19.1788,"Assault(Simple),LarcencyMV,ChainSnatching,Robbery,PocketPicking"
16,1/11/2014,14:41,14,72.82905383,19.17907712,Assault(Aggravated)
17,1/1/2014,18:01,18,72.866,19.1682,"Assault(Simple),LarcencyMV,ChainSnatching,Robbery,PocketPicking"
18,1/1/2014,16:52,16,72.8434,19.202,"Assault(Simple),Harrassment,Threats,Sex Offender Violation"
19,1/1/2014,3:26,3,72.8491,19.194,"Assault(Simple),Harrassment,Threats"
20,1/1/2014,22:06,22,72.9139,19.1098,"Assault(Simple),Harrassment,LarcencyMV,Robbery"
21,1/2/2014,10:11,10,72.9118,19.1102,"Assault(Simple),Harrassment,LarcencyMV,Robbery"
22,1/2/2014,10:35,10,72.8525,19.2245,"Assault(Simple),Harrassment,Threats"
23,1/2/2014,10:55,10,72.8228,19.2103,"Assault(Simple),Harrassment,Threats"
24,1/2/2014,12:24,12,72.8304,19.1386,"Assault(Simple),Robbery,LarcencyMV,ChainSnatching"
25,1/2/2014,14:42,14,72.85470791,19.16168767,MissingPerson
26,1/2/2014,15:37,15,72.9061,19.0914,"Assault(Simple),Harrassment,LarcencyMV,PocketPicking,Robbery"
27,1/2/2014,15:52,15,72.864,19.1781,"Assault(Simple),LarcencyMV,ChainSnatching,Robbery,PocketPicking"
28,1/2/2014,17:48,17,72.9071,19.091,"Assault(Simple),Harrassment,LarcencyMV,PocketPicking,Robbery"
29,1/3/2014,7:33,7,72.83683041,19.08190985,Assault(Aggravated)
30,1/3/2014,7:28,7,72.88304843,19.1073574,PocketPicking
31,1/3/2014,14:19,14,72.8451,19.1028,"Assault(Simple),Robbery,LarcencyMV,ChainSnatching"
32,1/3/2014,14:49,14,72.83655107,19.14897244,Assault(Aggravated)
33,1/3/2014,14:34,14,72.8433,19.179,"Assault(Simple),LarcencyMV,ChainSnatching,Robbery,PocketPicking"
34,1/3/2014,15:01,15,72.91,19.1108,"Assault(Simple),Harrassment,LarcencyMV,Robbery"
35,1/3/2014,15:06,15,72.8318,19.1855,"Assault(Simple),LarcencyMV,ChainSnatching,Robbery"
36,1/3/2014,16:53,16,72.8199,19.2079,"Assault(Simple),Harrassment,Threats"
37,1/3/2014,16:07,16,72.8435,19.1053,"Assault(Simple),Harrassment,LarcencyMV,Robbery"
38,1/3/2014,18:23,18,72.8213,19.2089,"Assault(Simple),Harrassment,Threats"
39,1/3/2014,20:54,20,72.8127,19.228,"Assault(Simple),Harrassment,Threats,Sex Offender Violation"
40,1/3/2014,21:13,21,72.8489,19.1638,"Assault(Simple),LarcencyMV,ChainSnatching,Robbery,PocketPicking"
41,1/4/2014,0:27,0,72.8398,19.0099,"Assault(Simple),LarcencyMV,ChainSnatching,Robbery,PocketPicking"
42,1/4/2014,1:38,1,72.8333,19.136,"Assault(Simple),Robbery,LarcencyMV,ChainSnatching"
43,1/4/2014,9:22,9,72.8324,19.0872,"Assault(Simple),Harrassment,Threats"
44,1/4/2014,9:50,9,72.845,19.2007,"Assault(Simple),Harrassment,Threats,Sex Offender Violation"
45,1/4/2014,13:32,13,72.90720582,19.1381457,Threats
46,1/4/2014,15:40,15,72.8434,19.2036,"Assault(Simple),Harrassment,Threats,Sex Offender Violation"
47,1/4/2014,15:53,15,72.8445,19.1015,"Assault(Simple),Robbery,LarcencyMV,ChainSnatching"
48,1/4/2014,15:45,15,72.9123,19.1091,"Assault(Simple),Harrassment,LarcencyMV,Robbery"
49,1/4/2014,16:39,16,72.8391,19.0109,"Assault(Simple),LarcencyMV,ChainSnatching,Robbery,PocketPicking"
50,1/4/2014,18:29,18,72.8552,19.2535,"Assault(Simple),Harrassment,LarcencyMV,Threats,MissingPerson"
51,1/4/2014,19:06,19,72.8438,19.201,"Assault(Simple),Harrassment,Threats,Sex Offender Violation"
52,1/4/2014,19:01,19,72.84815213,19.17885495,HitnRun
53,1/4/2014,20:44,20,72.848,19.1656,"Assault(Simple),LarcencyMV,ChainSnatching,Robbery,PocketPicking"
54,1/4/2014,20:38,20,72.91381677,18.94364879,Threats
55,1/4/2014,22:13,22,72.9297,19.2629,"Assault(Simple),LarcencyMV,ChainSnatching,Robbery,PocketPicking"
56,1/4/2014,23:31,23,72.82433271,19.03114292,MissingPerson
